ID,BoroCode,Borough,CD,CDName,TaxBlock,TaxLot,FacName,FacAddress,ZipCode,FacType,FT_Decode,FT_Report,FT_Map,GroupType,GroupType_Decode,NewGroupType,NewGroupType_Decode,NewSgroup,NewSgroup_Decode,NewFacType,NewFT_Decode,Sgroup,Sgroup_Decode,Capacity,CapType,CT_Decode,CT_Report,Acreage,PKtoG8,G9toG12,AgencyOper,NewAgencyOper_Decode,AgencyOper_Report,AgencyOver,NewAgencyOver_Decode,AgencyOver_Report,CT2010,Tract2010,CouncilDis,SchoolDist,PolicePrct,HealthArea,BBL,XCoord,YCoord,SvcArea,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip
1.03E+13,4,QN,413,QUEENS COMMUNITY DISTRICT 13,8801,14,PS 191 MAYFLOWER,85-15 258 St,11001,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,410,1,Day Care or Head Start Center Capacity,Children,,410,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,1579.03,157903,23,26,105,2170,4088010014,1065000,206914,L,40.73422174,-73.70891961,1,rooftop,85-015,258th St,Floral Park,NY,Nassau County,11001
1.03E+13,4,QN,413,QUEENS COMMUNITY DISTRICT 13,8717,1,PS 115 GLEN OAKS,80-51 261 St,11004,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,639,1,Day Care or Head Start Center Capacity,Children,,639,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,1579.02,157902,23,26,105,2170,4087170001,1064772,210542,L,40.7438507,-73.70960858,1,rooftop,80-051,261st St,Glen Oaks,NY,Queens County,11004
1.03E+13,4,QN,413,QUEENS COMMUNITY DISTRICT 13,8616,1,PS 133,248-05 86 Ave,11426,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,409,1,Day Care or Head Start Center Capacity,Children,,409,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,1571.01,157101,23,26,105,2160,4086160001,1062454,206256,L,40.73193954,-73.71778071,1,rooftop,248-005,86th Ave,Bellerose Terrace,NY,Nassau County,11426
1.03E+13,4,QN,413,QUEENS COMMUNITY DISTRICT 13,8401,375,PS 186 CASTLEWOOD,252-12 72 Ave,11426,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,365,1,Day Care or Head Start Center Capacity,Children,,365,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,1551.02,155102,23,26,105,2170,4084010375,1061379,212481,L,40.7497634,-73.72186284,1,rooftop,252-012,72nd Ave,Bellerose Terrace,NY,Nassau County,11426
1.03E+13,4,QN,413,QUEENS COMMUNITY DISTRICT 13,7870,70,PS/IS 208,74-30 Commonwlth Blvd,11426,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,736,1,Day Care or Head Start Center Capacity,Children,,736,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,1567,1567,23,26,105,2160,4078700070,1059738,210510,L,40.736459,-73.722376,0.18,place,,,Bellerose,NY,Nassau County,11426
1.03E+13,4,QN,413,QUEENS COMMUNITY DISTRICT 13,7870,74,PS/IS 266,74-10 Commonwealth Blvd,11426,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,690,1,Day Care or Head Start Center Capacity,Children,,690,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,1567,1567,23,26,105,2160,4078700074,1059501,211156,L,40.74555971,-73.72772024,1,rooftop,74-010,Commonwealth Blvd,Bellerose Terrace,NY,Nassau County,11426
1.03E+13,4,QN,413,QUEENS COMMUNITY DISTRICT 13,10813,5,PS/IS 295,222-14 Jamaica Ave,11428,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,548,1,Day Care or Head Start Center Capacity,Children,,547,1,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,568,568,23,29,105,2920,4108130005,1058710,201935,L,40.7208743,-73.73145967,1,rooftop,222-014,Jamaica Ave,Queens Village,NY,Queens County,11428
1.03E+13,4,QN,411,QUEENS COMMUNITY DISTRICT 11,8276,620,PS 221 THE NORTH HILLS SCHOOL,57-40 Marathon Pkwy,11362,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,636,1,Day Care or Head Start Center Capacity,Children,,636,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,1529.01,152901,23,26,111,2150,4082760620,1058638,215804,L,40.75839756,-73.73092378,1,rooftop,57-040,Marathon Pkwy,Little Neck,NY,Queens County,11362
1.03E+13,4,QN,413,QUEENS COMMUNITY DISTRICT 13,7955,2,PS 18 WINCHESTER,86-35 235 Ct,11427,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,642,1,Day Care or Head Start Center Capacity,Children,,642,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,1621,1621,23,26,105,2160,4079550002,1058446,206024,L,40.73180551,-73.73240394,1,rooftop,86-035,235th Ct,Queens Village,NY,Queens County,11427
1.03E+13,4,QN,413,QUEENS COMMUNITY DISTRICT 13,13222,1,PS 38 ROSEDALE,135-21 241 St,11422,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,207,1,Day Care or Head Start Center Capacity,Children,,207,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,638,638,31,29,105,3531,4132220001,1058100,183907,L,40.67132816,-73.73400471,1,rooftop,135-021,241st St,Rosedale,NY,Queens County,11422
1.03E+13,4,QN,413,QUEENS COMMUNITY DISTRICT 13,13578,1,PS/MS 138 SUNRISE,251-11 Weller Ave,11422,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,788,1,Day Care or Head Start Center Capacity,Children,,788,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,660,660,31,29,105,3620,4135780001,1057956,179799,L,40.65955281,-73.73472697,1,rooftop,251-011,Weller Ave,Rosedale,NY,Queens County,11422
1.03E+13,4,QN,413,QUEENS COMMUNITY DISTRICT 13,10756,1,PS 33 EDWARD M FUNK,91-37 222 St,11428,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,1045,1,Day Care or Head Start Center Capacity,Children,,1045,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,560,560,23,29,105,2910,4107560001,1057948,204317,L,40.72701519,-73.73475791,1,rooftop,91-037,222nd St,Queens Village,NY,Queens County,11428
1.03E+13,4,QN,413,QUEENS COMMUNITY DISTRICT 13,13655,1,PS 195 WILLIAM HABERLE,253-50 149 Ave,11422,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,680,1,Day Care or Head Start Center Capacity,Children,,680,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,664,664,31,29,105,3620,4136550001,1057612,177161,L,40.6528477,-73.7350267,1,rooftop,253-050,149th Ave,Rosedale,NY,Queens County,11422
