,ID,BoroCode,Borough,CD,CDName,TaxBlock,TaxLot,FacName,FacAddress,ZipCode,FacType,FT_Decode,FT_Report,FT_Map,GroupType,GroupType_Decode,NewGroupType,NewGroupType_Decode,NewSgroup,NewSgroup_Decode,NewFacType,NewFT_Decode,Sgroup,Sgroup_Decode,Capacity,CapType,CT_Decode,CT_Report,Acreage,PKtoG8,G9toG12,AgencyOper,NewAgencyOper_Decode,AgencyOper_Report,AgencyOver,NewAgencyOver_Decode,AgencyOver_Report,CT2010,Tract2010,CouncilDis,SchoolDist,PolicePrct,HealthArea,BBL,XCoord,YCoord,SvcArea,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip
88,1.03E+13,4,QN,412,QUEENS COMMUNITY DISTRICT 12,9684,8,PS 82 HAMMOND,88-02 144 St,11435,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,635,1,Day Care or Head Start Center Capacity,Children,NA,635,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,214,214,24,28,103,2720,4096840008,1036320,195780,L,40.70381994,-73.81199436,1,rooftop,88-002,144th St,Jamaica,NY,Queens County,11435
2608,1.13E+13,2,BX,211,BRONX COMMUNITY DISTRICT 11,4042,247,IAHD-ST MARY,2213 E Tremont Ave,10462,1109,Pre-K Only School - Private/Parochial,Pre-K Only School - Private/Parochial,Pre-K School - Private,1,SCHOOLS,1,Educational Facilities,1c,Private/Parochial Elementary and Secondary Schools,1c09,Private/Parochial Pre-K Only School,12,Private/Parochial Elementary and Secondary Schools,44,1,Day Care or Head Start Center Capacity,Children,NA,44,0,90,Proprietary,Private,50,NYS Education Department / Board of Regents ,NYSED,238,238,13,11,49,1220,2040420247,1023884,246187,L,40.84223391,-73.85676393,1,rooftop,2213,E Tremont Ave,Bronx,NY,Bronx County,10462
16453,3865930300,4,QN,411,QUEENS COMMUNITY DISTRICT 11,6243,5,"SHIELD INSTITUTE, INC.",39-09 214 Pl,11361,3805,Day Habilitation - Developmental Disability,Day Habilitation - Dev Disability,Outp Dev Disability Svc,7,DEVELOPMENTAL DISABILITIES SERVICES,4,Hospitals & Health Service Facilities,4h,Developmental Disabilities Service Facilities - Outpatient,4h04,Day Habilitation,72,Mental Retardation and Developmental Disabilities Services - Non-Residential,122,6,Outpatient or Day Program Facility Capacity,Program Capacity,NA,NA,NA,91,Not For Profit,NFP,57,NYS Office for People with Developmental Disabilities ,NYS OPWDD,1123,1123,19,26,111,2110,4062430005,1048112,218231,L,40.76537554,-73.76967275,1,rooftop,39-009,214th Pl,Bayside,NY,Queens County,11361
8701,15000R112,5,SI,503,STATEN ISLAND COMMUNITY DISTRICT 3,7558,302,MEREDITH WOODS,"West Shore Exwy. Meredith Ave. to South Ave., and at Richmond Pkwy.",NA,1514,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC","Beach, Garden, Natural Area, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c03,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC",22,Parklands,32.153,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,32.153,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,5075580302,920899,130678,R,40.723631,-74.011507,1,street_center,,12th Ave,New York,NY,New York County,10013
5835,15000M080,1,MN,103,MANHATTAN COMMUNITY DISTRICT 3,NA,NA,SCHIFF MALL,Delancey St bet. Bowery and Essex St,NA,1513,"Triangle, Plaza, Mall, Lot, Strip - NYC","Triangle, Plaza, Mall, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c02,"Triangle, Plaza, Mall, Lot, Strip - NYC",22,Parklands,0.529,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.529,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,NA,987021,201262,L,40.718556,-73.988201,1,intersection,,Delancey St,New York,NY,New York County,10002
316,1.03E+13,2,BX,208,BRONX COMMUNITY DISTRICT 8,5756,195,PS 7 KINGSBRIDGE,3201 Kingsbridge Ave,10463,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,703,1,Day Care or Head Start Center Capacity,Children,NA,703,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,287,287,11,10,50,200,2057560195,1010330,260461,L,40.88125327,-73.90535866,1,rooftop,3201,Kingsbridge Ave,Bronx,NY,Bronx County,10463
17348,4100DC14408,4,QN,408,QUEENS COMMUNITY DISTRICT 8,6978,24,KEREN OHR III NURSERY,170-16 73 Ave,11366,4102,Group Day Care - Private,Group Day Care - Private,Group Day Care - Private,8,DAYCARE AND RESIDENTIAL FACILITIES FOR CHILDREN,5,Housing & Social Service Facilities,5b,Childcare Facilities,5b02,Group Day Care - Private,82,Daycare and Headstart Facilities,55,1,Day Care or Head Start Center Capacity,Children,NA,NA,NA,90,Proprietary,Private,14,NYC Department of Health & Mental Hygiene ,NYC DOHMH,1241,1241,24,26,107,2022,4069780024,1039987,204772,L,40.72855317,-73.79894478,1,rooftop,170-016,73rd Ave,Fresh Meadows,NY,Queens County,11366
20967,6106407004,4,QN,407,QUEENS COMMUNITY DISTRICT 7,1830,10,"TULLY ENVIRONMENTAL, INC.",127-20 34 Ave,11368,6106,Solid Waste Transfer Station,Solid Waste Transfer Station,Solid Waste Transfer Station,12,WASTE MANAGEMENT FACILITIES,6,Transportation & Waste Facilities,6c,Waste Handling and Processing Facilities,6c03,Solid Waste Transfer Station,121,Waste Management Facilities,NA,99,Not Applicable or Not Collected For This Facility Type,NA,NA,NA,NA,90,Proprietary,Private,27,NYC Department of Sanitation ,DSNY,383.01,38301,21,25,110,1200,4018300010,1028029,216349,R,40.760686,-73.84229667,1,range_interpolation,127-020,34th Ave,Corona,NY,Queens County,11368
6840,15000B484,3,BK,305,BROOKLYN COMMUNITY DISTRICT 5,4014,24,GREGORY'S GARDEN,Warwick St. bet. Pitkin Ave. and Belmont Ave.,NA,1514,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC","Beach, Garden, Natural Area, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c03,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC",22,Parklands,0.119,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.119,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,3040140024,1015891,184366,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
7381,15000M306,1,MN,107,MANHATTAN COMMUNITY DISTRICT 7,1839,39,W 104TH STREET GARDEN,"W. 104 St., Manhattan Ave., Central Park W.",NA,1514,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC","Beach, Garden, Natural Area, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c03,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC",22,Parklands,0.38,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.38,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,1018390039,994831,229583,L,40.798642,-73.965524,1,street_center,,W 104th St,New York,NY,New York County,10025
